"First Name","Last Name (Surname)","Date of birth","Email Address","SSN","Address","Patients MRN","Blood Type","Weight","Height"
"steven","olszewski","05/07/1910","lobortis@tempusnon.co.uk","538-38-4572","420 Cove Villa Street","728-4-01408","B+","263 pounds (119.5 kilograms)","6’2” (187.96 centimeters)"
"stephen w","saftler","02/05/1949","lobortis.quis.pede@tinciduntnunc.co.uk","880-11-5536","8614 Surf Drive","799-9-12566","A-","144 pounds (65.5 kilograms)","5’4” (162.56 centimeters)"
"shawn j","brown","07/08/1969","faucibus@quispede.edu","849-20-3615","7809 Highway 2302","074-6-38587","AB+","89 pounds (40.5 kilograms)","5’3” (160.02 centimeters)"
"scott a","coston","02/31/2000","varius.et@idrisus.org","317-22-5955","3302 Woodland Park Drive","124-2-52489","AB+","118 pounds (53.5 kilograms)","5’0” (152.4 centimeters)"
"scott","hersey","02/31/1993","viverra.donec.tempus@euplacerateget.net","662-37-2136","8 Corona Street","733-8-00354","A+","330 pounds (149.5 kilograms)","6’1” (185.45 centimeters)"
"rufat","safarov","11/11/2010","sociis.natoque.penatibus@ipsumcurabitur.edu","680-82-5104","36360 Beech Place","099-5-42245","O+","215 pounds (97.5 kilograms)","5’8” (172.72 centimeters)"
"royal  iii","dyal","06/04/1969","nulla@sed.com","379-84-4514","307 Meadowood Court","854-8-47283","O-","305 pounds (138.5 kilograms)","6’0” (182.88 centimeters)"
"ronald t","ross","09/08/2012","eu.tellus@necquam.co.uk","787-03-0984","900 Dupont Road","449-9-88417","O+","132 pounds (60 kilograms)","6’3” (190.5 centimeters)"
"ronald l","gregory","11/08/1918","est.ac.mattis@aarcused.edu","706-37-8294","15 Taft Street","348-9-90793","B-","267 pounds (121 kilograms)","5’7” (170.18 centimeters)"
"ronald e","mauldin","11/09/1978","mi.felis.adipiscing@cursus.co.uk","276-22-7999","16244 Seville Park Circle","379-3-90196","O+","126 pounds (57 kilograms)","6’6” (198.12 centimeters)"
"roger r","lamkin","11/10/2007","in.magna@egetvariusultrices.co.uk","770-78-5257","7800 River Mist Avenue","420-9-14073","AB+","337 pounds (153 kilograms)","5’8” (172.72 centimeters)"
"rodney d","hill","12/31/1979","neque@duilectusrutrum.edu","018-66-1415","3 Southerberry Drive","846-3-44314","O-","233 pounds (105.5 kilograms)","5’0” (152.4 centimeters)"
"roberto a","cepero","12/04/2006","non.enim@pharetranamac.net","501-70-2861","2027 North Shannon Drive","393-0-88461","B-","107 pounds (48.5 kilograms)","6’0” (182.88 centimeters)"
"roberto","santiago","09/31/2010","nec.metus@mattisornare.org","741-78-8539","3810 Camp Ground Road","202-4-38598","O-","346 pounds (157 kilograms)","5’10” (177.8 centimeters)"
"robert w","langely","05/07/1948","nunc.sollicitudin.commodo@consectetuer.com","657-65-8346","2787 West Blackstone Crossing","579-3-55087","B-","189 pounds (85.5 kilograms)","5’1” (154.94 centimeters)"
"robert j","mcclure","11/19/2016","tempor@nisinibhlacinia.ca","329-76-5366","40 Oliver Road","333-1-30837","B+","166 pounds (75.5 kilograms)","5’2” (157.48 centimeters)"
"robert d","kovac","11/30/1961","at@adipiscinglacusut.org","821-43-8779","51185 Helmsman Street","439-0-32235","B+","341 pounds (154.5 kilograms)","6’0” (182.88 centimeters)"
"robert d","sanders","06/04/1936","est@leoelementum.co.uk","866-92-8813","1417 Stoneykirk Road","554-8-08938","B-","229 pounds (104 kilograms)","6’6” (198.12 centimeters)"
"robert","ruman","05/15/2010","libero@nonummy.org","855-39-9118","1426 C Street Southeast","484-2-97968","A-","129 pounds (58.5 kilograms)","5’3” (160.02 centimeters)"
"ricky a","potter","11/09/1934","integer.sem.elit@nequetellus.edu","901-54-4616","7431 Candace Way","459-8-39524","O-","269 pounds (122 kilograms)","6’0” (182.88 centimeters)"
"rickey s","osborn","07/28/1953","pellentesque.tellus.sem@sodaleselit.co.uk","318-31-8885","8028 North 56th Lane","762-0-75725","O+","205 pounds (93 kilograms)","5’1” (154.94 centimeters)"
"richmond d","bishop","09/09/1962","tincidunt.dui@ametante.net","527-17-5830","175 Creek Road","226-5-54536","O+","184 pounds (83.5 kilograms)","5’4” (162.56 centimeters)"
"richard w","surguine","12/04/2007","justo.faucibus@eleifendnon.edu","344-49-9030","5430 Brookdale Avenue","172-4-36662","A+","127 pounds (57.5 kilograms)","6’3” (190.5 centimeters)"
"richard e","harris","11/12/1940","at@phaselluselit.com","943-00-1326","312 North Cove Boulevard","046-6-90273","AB-","98 pounds (44.5 kilograms)","5’4” (162.56 centimeters)"
"richard d","estes","12/31/2006","ac.tellus@molestiesodalesmauris.net","232-33-0848","70 Valley Road","526-3-51160","A+","185 pounds (84 kilograms)","5’5” (165.1 centimeters)"
"richard a","regan","12/11/1959","ut.sem@velmaurisinteger.com","191-60-8673","451 East Street","694-2-45886","B-","300 pounds (136 kilograms)","5’4” (162.56 centimeters)"
"richard a","cribbs","08/18/1905","placerat@risus.com","515-26-7617","2406 Brighton Drive","086-9-44533","AB+","271 pounds (123 kilograms)","5’2” (157.48 centimeters)"
"richard","baker","12/10/2017","orci.lobortis@orciluctuset.ca","271-77-3976","4463 Cato Road","243-3-27377","AB-","287 pounds (130 kilograms)","5’2” (157.48 centimeters)"
"raymond j","hendrix","11/14/1999","duis@acnulla.edu","351-27-1072","26 Battery Drive","499-5-36066","AB-","333 pounds (151 kilograms)","5’4” (162.56 centimeters)"
"raymond","rinkiewicz","11/26/2002","ut.nec@sollicitudinadipiscing.net","167-07-7915","1014 South 2nd Street","735-0-94693","O+","336 pounds (152.5 kilograms)","5’6” (167.74 centimeters)"
"randy l","bradley","12/30/2006","interdum.enim.non@ipsum.co.uk","385-72-8544","201 Juniper Springs Drive","844-6-05113","A-","139 pounds (63 kilograms)","5’10” (177.8 centimeters)"
"randall","mullins","12/30/1918","sed.id.risus@sed.edu","353-94-9852","3469 North Par Court","397-1-77484","B-","194 pounds (88 kilograms)","5’6” (167.74 centimeters)"
"philip","rodier","12/09/2008","phasellus@maurisipsumporta.com","598-42-7436","2534 Willena Avenue","385-0-12695","AB-","245 pounds (111 kilograms)","6’1” (185.45 centimeters)"
"paul m","gordon","08/08/1904","elementum.lorem.ut@proin.co.uk","514-78-3255","1954 Wilson Court","759-7-38295","O+","304 pounds (138 kilograms)","6’2” (187.96 centimeters)"
"paul h","evans","07/06/2008","eget.mollis@aenim.net","638-13-1865","5116 Feys Court","945-0-21929","AB+","280 pounds (127 kilograms)","5’0” (152.4 centimeters)"
"patrick j","roberts","12/04/2000","vivamus.nibh@vivamuseuismod.com","158-95-9921","2441 Chase Park Drive","372-4-71626","B+","286 pounds (130 kilograms)","5’0” (152.4 centimeters)"
"oscar s","ayala","11/22/2018","malesuada@tristiquealiquetphasellus.co.uk","941-83-4810","1 North School Avenue","168-1-85945","A-","92 pounds (41.5 kilograms)","5’5” (165.1 centimeters)"
"norman h","cottrelljr","06/31/2000","dolor.tempus.non@interdum.ca","477-85-7745","28 Wayne Avenue","420-5-13286","AB+","98 pounds (44.5 kilograms)","5’6” (167.74 centimeters)"
"noah i","rook","01/14/2011","morbi.sit.amet@augueeu.co.uk","939-93-3724","210 Green Road","496-4-02013","A-","254 pounds (115 kilograms)","5’11” (180.34 centimeters)"
"nike l","hudson","11/31/1912","nec.tellus.nunc@felis.com","749-76-9202","1333 Kenyon Street Northwest","047-1-94498","A-","188 pounds (85 kilograms)","5’4” (162.56 centimeters)"
"nicholas c","ferro","11/31/2013","a@acorci.edu","160-91-4815","646 Clinton Street","059-6-85119","AB-","159 pounds (72 kilograms)","5’9” (175.26 centimeters)"
"nelson r","sabates","08/22/1903","sodales.elit@viverramaecenasiaculis.net","799-47-9487","2375 Main Street","141-5-51486","O+","123 pounds (56 kilograms)","5’1” (154.94 centimeters)"
"naveed","khan","06/30/1978","nunc.nulla.vulputate@porttitorinterdumsed.org","938-45-1122","7105 Tanager Avenue","768-8-99098","O+","134 pounds (61 kilograms)","5’4” (162.56 centimeters)"
"nathaniel d","bennett","05/31/2015","vulputate.dui@laoreetlibero.co.uk","514-92-9752","1495 Snell Boulevard","337-5-81672","O-","343 pounds (155.5 kilograms)","5’6” (167.74 centimeters)"
"nathanael d","arrowood","03/03/2007","iaculis@ipsum.org","865-48-5855","1265 Xavier Avenue","249-7-58978","O-","224 pounds (101.5 kilograms)","6’2” (187.96 centimeters)"
"mitchell l","oxford","12/30/2004","tristique@nulla.co.uk","675-72-8101","2205 Lindell Avenue","747-6-60309","O-","260 pounds (118 kilograms)","5’4” (162.56 centimeters)"
"michael w","knab","03/31/2017","lectus@velest.com","814-11-6383","4924 West 65th Avenue","751-5-44458","O-","162 pounds (73.5 kilograms)","6’4” (193.04 centimeters)"
"michael s","cole","02/26/2007","ligula@inlorem.com","356-97-5266","82 East Foster Street","952-1-05370","AB+","359 pounds (163.5 kilograms)","6’6” (198.12 centimeters)"
"michael s","milburn","01/09/2008","luctus.et.ultrices@tellus.net","086-60-3309","141 Lavigne Road","206-2-74948","AB+","213 pounds (96.5 kilograms)","6’4” (193.04 centimeters)"
"michael r jr","lake","01/31/2013","magna@crasvulputate.net","933-97-8188","6870 West 52nd Avenue","702-0-68173","A-","276 pounds (125 kilograms)","6’3” (190.5 centimeters)"
"michael r","masselli","12/22/1935","urna@dui.edu","678-60-0767","3024 24th Street Northeast","596-1-82170","B+","145 pounds (66 kilograms)","5’1” (154.94 centimeters)"
"michael k","burns","08/30/1949","semper@luctus.co.uk","112-34-5124","776 Morrill Road","444-2-06359","AB-","289 pounds (131 kilograms)","5’3” (160.02 centimeters)"
"michael c","harlowe","07/04/1945","imperdiet@lectuspedeultrices.org","089-92-3675","313 Monroe Street","561-4-20646","A-","318 pounds (144.5 kilograms)","6’6” (198.12 centimeters)"
"michael a","wells","01/25/2000","in.at@condimentumegetvolutpat.org","290-20-0926","3142 North Warwick Drive","217-9-59479","O-","99 pounds (45 kilograms)","5’5” (165.1 centimeters)"
"michael a","branning","12/12/2016","cras@liberoduinec.co.uk","175-83-5745","204 North Holt Street","857-2-74345","O+","249 pounds (113 kilograms)","6’6” (198.12 centimeters)"
"michael","kattick","06/30/1944","sit@maurisintegersem.com","046-98-5002","9605 West 62nd Place","823-4-08097","O-","95 pounds (43 kilograms)","5’0” (152.4 centimeters)"
"matthew a","imperiale","12/25/2014","fusce.mi.lorem@innec.com","336-07-4113","115 Falkirk Street","958-8-85296","O-","184 pounds (83.5 kilograms)","5’11” (180.34 centimeters)"
"martin s","moore","04/26/1968","vivamus.nisi@convallisest.net","768-35-9187","14524 Lodestar Drive","374-8-41130","O+","272 pounds (123.5 kilograms)","5’0” (152.4 centimeters)"
"mark d","mitchell","11/31/2007","vel@eulacus.co.uk","738-08-4570","5055 West 58th Avenue","001-5-55693","O+","336 pounds (152.5 kilograms)","5’3” (160.02 centimeters)"
"mark a","higgins","03/07/2015","luctus.lobortis.class@diamlorem.net","006-58-1137","7310 East Chester Heights Circle","487-6-79094","A+","173 pounds (78.5 kilograms)","6’6” (198.12 centimeters)"
"mark","melvin","04/05/2009","maecenas@tempuseu.org","005-54-1018","6013 Cherry Hill Road","453-6-90081","B-","263 pounds (119.5 kilograms)","5’5” (165.1 centimeters)"
"marco a","rodriguez","12/31/2008","quisque.imperdiet@est.edu","040-77-9095","2411 Alteras Drive","062-1-18852","A+","266 pounds (120.5 kilograms)","5’7” (170.18 centimeters)"
"marc d","adler","11/31/2005","donec.tincidunt@posuere.com","235-15-8614","103 Fenwick Village Drive","437-3-58007","A-","238 pounds (108 kilograms)","6’6” (198.12 centimeters)"
"luis a","figueroa","05/31/2009","pharetra.nam@dolor.org","278-94-8558","430 Cornish Drive","892-1-99039","O+","252 pounds (114.5 kilograms)","6’6” (198.12 centimeters)"
"lonnie d","cowan","05/31/1944","pellentesque.tellus.sem@non.org","018-17-0424","53 Greenwood Avenue","596-6-22667","O-","357 pounds (162.5 kilograms)","6’5” (195.58 centimeters)"
"logan m","derrico","11/06/2004","feugiat.placerat@urna.net","052-32-4699","441 Merritt Avenue","841-6-31950","A-","338 pounds (153.5 kilograms)","5’9” (175.26 centimeters)"
"lelton l","barron","12/06/2011","quam.dignissim@liberoproinsed.net","344-30-5125","4216 Park Boulevard","552-4-66553","B-","212 pounds (96 kilograms)","5’9” (175.26 centimeters)"
"lee","payne","04/13/1917","lobortis.nisi.nibh@vivamus.com","888-52-4939","827 10th Street Northeast","589-7-61666","B-","99 pounds (45 kilograms)","5’7” (170.18 centimeters)"
"lawrence p iii","clarke","04/15/1982","mauris.ut.quam@justonec.org","329-61-1448","1908 Newton Street Northeast","018-4-78111","O-","330 pounds (149.5 kilograms)","5’10” (177.8 centimeters)"
"larry l jr","graham","06/04/2008","tempus.risus@pretiumet.edu","625-07-7200","15509 East 7th Circle","584-3-03616","B-","256 pounds (116 kilograms)","5’7” (170.18 centimeters)"
"kirk a","hansbrough","06/26/2007","diam@volutpat.com","464-93-2730","2035 Ninth Street","297-6-13376","A-","128 pounds (58 kilograms)","5’2” (157.48 centimeters)"
"kevin o","meredith","03/02/1966","duis@consectetueripsum.ca","741-06-5589","5144 Cattail Court","260-5-96881","B+","116 pounds (52.5 kilograms)","5’8” (172.72 centimeters)"
"kevin","johnson","12/31/2008","at.velit@elitpellentesquea.edu","864-12-4454","111 20th Street","632-2-88768","AB-","323 pounds (146.5 kilograms)","5’0” (152.4 centimeters)"
"kevin","saunders","12/22/1984","venenatis@odiotristiquepharetra.ca","860-72-5208","3373 Runnymede Place Northwest","593-7-71033","B+","337 pounds (153 kilograms)","6’6” (198.12 centimeters)"
"kenneth l jr","dehart","08/10/1976","erat@pharetra.org","775-55-3157","4 Eastview Lane","410-6-60758","B-","118 pounds (53.5 kilograms)","5’11” (180.34 centimeters)"
"justus l","reid","03/09/1985","enim@placeratauguesed.net","570-86-7706","829 Main Street","636-0-45118","AB+","281 pounds (127.5 kilograms)","5’3” (160.02 centimeters)"
"justin h","bryan","12/21/1962","bibendum.sed@duisgravida.net","496-66-8217","1990 Poplar Ridge Road","164-0-56177","A+","273 pounds (124 kilograms)","6’4” (193.04 centimeters)"
"justin","devaney","11/22/2005","nam.ligula.elit@eu.org","945-53-0409","903 Burton Avenue","062-9-33508","AB-","229 pounds (104 kilograms)","5’11” (180.34 centimeters)"
"junior j","batista","05/23/2011","velit.justo.nec@curabitur.org","368-03-3857","210 Beachcomber Drive","542-8-70907","A+","138 pounds (62.5 kilograms)","5’8” (172.72 centimeters)"
"joshua w","coxwell","04/28/1911","porttitor@lectus.net","213-99-5500","2147 Millhaven Drive","789-4-95630","O+","231 pounds (105 kilograms)","6’4” (193.04 centimeters)"
"joshua r","kirkland","12/10/1909","tincidunt@necdiam.org","527-79-3562","71 Racine Road","621-0-54726","B-","177 pounds (80.5 kilograms)","5’8” (172.72 centimeters)"
"joseph p","brooks","11/12/1990","elit.pede.malesuada@consectetuerrhoncusnullam.net","244-18-8437","20 Masters Way","298-3-68627","O-","150 pounds (68 kilograms)","6’6” (198.12 centimeters)"
"joseph m","kass","02/30/1923","consequat.dolor@liberoettristique.com","421-76-5303","169 Wachusett Street","678-8-92709","AB-","161 pounds (73 kilograms)","5’7” (170.18 centimeters)"
"joseph j","porter","12/07/2018","ullamcorper@aptenttacitisociosqu.org","494-88-8750","3426 Broadview Street","984-5-32086","AB+","231 pounds (105 kilograms)","6’0” (182.88 centimeters)"
"joseph e","pyle","11/30/1975","rhoncus@porttitorvulputateposuere.ca","429-87-0226","7300 West 74th Place","549-4-39504","AB-","342 pounds (155 kilograms)","5’5” (165.1 centimeters)"
"jose m","andujar","02/06/1915","imperdiet.ullamcorper@dictum.net","460-22-5070","63 Summit Street","070-7-32334","A-","293 pounds (133 kilograms)","5’0” (152.4 centimeters)"
"jose m","rivas","11/08/2016","amet.consectetuer.adipiscing@eu.co.uk","633-75-1198","5224 Wasena Avenue","699-0-02863","B+","91 pounds (41.5 kilograms)","6’4” (193.04 centimeters)"
"jose g","guillen","09/30/1971","nec.euismod.in@cubiliacurae.ca","067-56-5952","145 Saint John Street","686-9-90582","A+","172 pounds (78 kilograms)","5’5” (165.1 centimeters)"
"jorge l","bido","12/19/2007","convallis@fringilla.com","768-42-4303","3604 West Market Street","587-7-81005","O-","145 pounds (66 kilograms)","6’6” (198.12 centimeters)"
"jonathan m","mosby","01/10/1909","purus@temporeratneque.com","330-06-8632","700 Towering Oak Court","120-2-14091","A+","184 pounds (83.5 kilograms)","5’1” (154.94 centimeters)"
"jonathan d","lane","09/01/1985","dolor.fusce@ipsumsuspendissesagittis.com","960-20-8054","4601 Reka Drive","075-9-58746","B+","240 pounds (109 kilograms)","5’11” (180.34 centimeters)"
"johnny r","drummond","11/21/1959","scelerisque@elitdictumeu.co.uk","051-17-3160","2057 Lucas Street","585-7-05411","A-","267 pounds (121 kilograms)","5’10” (177.8 centimeters)"
"johnny c","gunter","12/15/1919","egestas@accumsaninterdum.org","123-81-0989","323 Southeast 23rd Street","640-0-03979","AB-","284 pounds (129 kilograms)","6’6” (198.12 centimeters)"
"john j","reese","12/30/1931","leo.cras@nonummyacfeugiat.net","737-37-4534","422 C Street Northeast","860-6-27691","O-","305 pounds (138.5 kilograms)","5’11” (180.34 centimeters)"
"john f","angelo","12/01/2015","mauris.ipsum@orcisemeget.net","321-64-9672","3384 North Southridge Drive","894-0-76863","O+","267 pounds (121 kilograms)","5’10” (177.8 centimeters)"
"john c","panico","12/07/1938","et.arcu@nostraper.com","417-19-1162","8597 Bay Road","324-5-38338","A+","95 pounds (43 kilograms)","5’8” (172.72 centimeters)"
"john a","radenheimer","11/30/1955","sem.ut@maurisaliquameu.co.uk","938-84-7943","2224 East Tall Oaks Drive","707-0-14668","B-","100 pounds (45.5 kilograms)","5’9” (175.26 centimeters)"
"joey e","daugherty","12/27/2019","ac.sem.ut@nulla.co.uk","278-44-5518","345 Tattnall Street","764-2-70885","AB-","144 pounds (65.5 kilograms)","5’5” (165.1 centimeters)"
"joey e","lanfair","12/17/2002","ultricies.ligula@nisi.org","005-55-0542","7703 Aragorn Court","156-0-77652","B-","161 pounds (73 kilograms)","5’1” (154.94 centimeters)"
"jimmy","dunn","11/31/2002","semper.tellus@malesuadafames.net","981-41-6790","680 Quintana Road","134-8-43465","B-","210 pounds (95.5 kilograms)","5’10” (177.8 centimeters)"
"jesse l","creech","11/31/2019","libero@mollisdui.co.uk","607-26-5065","14 6th Street","708-9-30842","AB-","118 pounds (53.5 kilograms)","5’8” (172.72 centimeters)"
"jeremy r","miller","11/16/1989","sed.orci@lorem.edu","288-01-0249","7090 West 64th Avenue","917-8-26231","AB-","99 pounds (45 kilograms)","5’3” (160.02 centimeters)"
"jeremy j","bautz","05/11/2009","dolor@enimnisl.org","113-77-8020","537 East Waldburg Street","695-3-37574","AB+","329 pounds (149.5 kilograms)","5’11” (180.34 centimeters)"
"jeffery a","mcfarlin","11/31/2009","nec.eleifend@maurisblanditmattis.com","460-81-0455","7 Oliver Street","748-7-52189","AB+","234 pounds (106 kilograms)","5’6” (167.74 centimeters)"
"james t","rusk","06/13/2015","pede.suspendisse.dui@metuseu.edu","550-29-7324","1552 Gibson Street","779-7-57222","B+","101 pounds (46 kilograms)","6’4” (193.04 centimeters)"
"james m","fay","11/18/2004","nisi@fermentumfermentumarcu.ca","987-66-1827","1318 4th Street Southwest","152-9-41816","O-","160 pounds (72.5 kilograms)","5’8” (172.72 centimeters)"
"james l jr","rigsby","12/24/2002","ullamcorper@ipsumnonarcu.org","958-96-9407","145 Grau Drive","556-3-28562","O-","130 pounds (59 kilograms)","6’2” (187.96 centimeters)"
"james l","clark","05/30/1932","lectus@ligulanullamenim.edu","758-23-9060","5644 Kipling Parkway","992-3-07521","B-","98 pounds (44.5 kilograms)","6’5” (195.58 centimeters)"
"james b","kuenn","08/26/1972","parturient@quisque.ca","703-94-9578","704 Crescent Road","191-2-34640","A-","139 pounds (63 kilograms)","6’5” (195.58 centimeters)"
"james b","eigenrauch","11/06/1946","ridiculus@etiamimperdiet.co.uk","615-04-9207","1501 New Hampshire Avenue","683-6-00771","A-","109 pounds (49.5 kilograms)","5’7” (170.18 centimeters)"
"james a","hayes","05/25/1937","orci@elementumdui.edu","187-65-0357","8010 Queen Victoria Drive","810-9-92621","B-","254 pounds (115 kilograms)","6’1” (185.45 centimeters)"
"jacob p","launius","03/12/1964","pellentesque.ultricies.dignissim@cras.ca","572-00-4013","61 Cubles Drive","258-9-60087","AB+","151 pounds (68.5 kilograms)","5’6” (167.74 centimeters)"
"guy d","etter","04/31/1953","augue.eu@vitaeeratvivamus.org","976-37-1592","46 Sugarloaf Hill Road","768-8-77120","O-","308 pounds (139.5 kilograms)","5’9” (175.26 centimeters)"
"glenn h","sandler","11/10/2001","molestie@odiosemper.net","477-72-2396","8 Village Circle","758-5-25036","O+","309 pounds (140 kilograms)","6’3” (190.5 centimeters)"
"gerardo","aguilar","04/12/1990","consequat.enim@euelitnulla.ca","991-00-4898","6140 Fenton Street","299-1-98325","AB+","187 pounds (85 kilograms)","5’9” (175.26 centimeters)"
"garry","robertson","03/21/2009","diam.pellentesque@cursus.ca","219-30-0872","545 Tracey Drive","620-7-84417","AB-","307 pounds (139.5 kilograms)","5’9” (175.26 centimeters)"
"gabriel","pagan","07/30/2002","erat.nonummy.ultricies@aliquamultricesiaculis.com","507-96-3634","8315 Surf Drive","075-7-29293","AB+","268 pounds (121.5 kilograms)","5’11” (180.34 centimeters)"
"frederick","reinhard","05/07/1933","enim.commodo.hendrerit@dui.org","765-18-7174","6818 North Lagoon Drive","417-4-50406","AB+","243 pounds (110 kilograms)","6’2” (187.96 centimeters)"
"freddie e","osteen","06/31/1950","at.lacus.quisque@vel.com","145-40-1925","8772 West 79th Avenue","263-1-82587","O-","211 pounds (95.5 kilograms)","5’6” (167.74 centimeters)"
"fred h","dermitt","02/31/2007","ultricies.adipiscing@ridiculus.edu","847-77-9696","75 Wilfred Road","939-1-79421","AB+","162 pounds (73.5 kilograms)","5’4” (162.56 centimeters)"
"floyd m iii","howard","12/02/1989","amet.nulla.donec@portaelit.edu","760-75-0175","1622 Edgar D Nixon Avenue","645-0-72612","O+","272 pounds (123.5 kilograms)","6’5” (195.58 centimeters)"
"felipe","de la hoz","01/30/1999","sodales.nisi.magna@nec.org","266-61-7136","3438 Carlton Avenue","540-4-83377","B+","350 pounds (159 kilograms)","6’6” (198.12 centimeters)"
"eric j","rios","12/31/1970","nonummy@hendrerit.co.uk","710-79-3244","10301 La Plaza Drive","725-5-62108","AB-","316 pounds (143.5 kilograms)","5’11” (180.34 centimeters)"
"eric b","schochet","09/08/2012","neque@temporest.org","014-83-6661","1026 Orchard Avenue","194-6-20739","O-","340 pounds (154.5 kilograms)","5’6” (167.74 centimeters)"
"ellis t iii","lewis","11/01/1975","non@velitquisquevarius.co.uk","082-06-4667","8219 Minor Lane","198-4-09769","AB+","254 pounds (115 kilograms)","6’0” (182.88 centimeters)"
"eduardo f","rivera","03/05/1940","tempor.arcu.vestibulum@nullamfeugiat.com","299-89-1398","640 Hilliard Street","956-6-48076","B+","193 pounds (87.5 kilograms)","5’0” (152.4 centimeters)"
"eduardo","sanchez","11/31/2017","sed.dolor@amagna.com","189-09-7982","3404 Lakeside Drive","529-4-83859","B+","222 pounds (100.5 kilograms)","5’6” (167.74 centimeters)"
"eduardo","garcia","11/18/2002","odio.a@risusduis.com","750-60-6331","6041 North 72nd Lane","185-9-20001","AB+","227 pounds (103 kilograms)","6’1” (185.45 centimeters)"
"edgar a","irving","11/22/1984","mi.felis.adipiscing@tellusphaselluselit.net","699-36-0081","1040 University Avenue","857-3-97512","B+","340 pounds (154.5 kilograms)","5’5” (165.1 centimeters)"
"eddie","cavazos","12/30/1925","hendrerit@malesuadaaugue.edu","708-74-4228","1164 Middle Turnpike West","634-3-61262","A+","104 pounds (47 kilograms)","6’0” (182.88 centimeters)"
"dylan c","ring","11/03/2016","nulla.aliquet.proin@augue.org","445-82-4342","1432 Bell Trace Drive","692-0-65436","O+","148 pounds (67 kilograms)","5’7” (170.18 centimeters)"
"dwayne l","banks","09/30/2012","massa@velfaucibusid.com","056-59-0970","463 East Rutgers Loop","728-2-03772","O+","346 pounds (157 kilograms)","5’7” (170.18 centimeters)"
